Policy Name,Application Type,Location,File Name,NameName,Original File Name,File Name Compare As,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
New_BLACK LIST,Executable,,,WhatsApp Inc.,,,,,,,Specific Publishers,WhatsApp Inc.,Prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_BLACK LIST,Executable,,,Electronic Arts,,,,,,,Specific Publishers,Electronic Arts,Prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Electronic Arts
New_EGITIM PROGRAMLARI,MSI/MSP Installation,,*.msi,MSI by checksum based on file 'db.browser.for.sqlite-3.12.0-alpha1-win64.msi',db.browser.for.sqlite-3.12.0-alpha1-win64.msi,Wildcards,82EEEE8CC0F96889697B710602BBFAAACFEFA307,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,MSI by checksum based on file 'db.browser.for.sqlite-3.12.0-alpha1-win64.msi'
New_EGITIM PROGRAMLARI,MSI/MSP Installation,,*.msi,DB.Browser.for.SQLite-3.11.2-win64.msi,DB.Browser.for.SQLite-3.11.2-win64.msi,Wildcards,A7B21880DEA8844FDFF8755D90FF70529AD27B85,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_EGITIM PROGRAMLARI,MSI/MSP Installation,,DB.Browser.for.SQLite-3.12.0-win32.msi,DB.Browser.for.SQLite-3.12.0-win32.msi,,Exactly,,,,,Specific Publishers,"Open Source Developer, Martin Kleusberg",Exactly,,,,,,,,,,,DB Browser for SQLite,Exactly,DB Browser for SQLite Team,Exactly,3.12.0,,"""{9BC65494-4E3E-4DF2-B167-0CAFBB57D0F3}"" ( exact / case sensitive: True )","""{124623D9-35D6-4D2E-9474-2ADACC8BABBB}"" ( exact / case sensitive: True )",,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_EGITIM PROGRAMLARI,Executable,,TableauDesktop-64bit-2020-3-1.exe,TableauDesktop-64bit-2020-3-1.exe,,Exactly,,,,,Specific Publishers,Tableau Software LLC,Exactly,Tableau 2020.3 (20203.20.0918.1727),Exactly,Tableau 2020.3 (20203.20.0918.1727),Exactly,Tableau Software,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,SETUP_WFT_RESTRICTED_7_4_11_17.exe,NT UYGULAMA KONTROL PROGRAMI,,Exactly,,,,,Ignore Signature,,,,,WinFIOL&Tools Installation Package,Exactly,Ericsson AB,Exactly,7.4.11.17,,,7.4.11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,NT UYGULAMA KONTROL PROGRAMI
New_NT UYGULAMA Policy,Executable,,,"HUAWEI Technologies Co., Ltd.",,,,,,,Specific Publishers,"HUAWEI Technologies Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,G6FTPSrv.exe,G6FTPSrv.exe,,Exactly,,,,,Ignore Signature,,,BPFTP Server,Exactly,BPFTP Server for Internet.,Exactly,Gene6,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,MSI/MSP Installation,,*.msi,JAVA NT PCRF,jre-8u191-windows-i586.msi,Wildcards,53EDA56C9DB4BBD77107CE238D3EF4B088097CB9,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,JAVA NT PCRF
New_NT UYGULAMA Policy,Executable,,,CITRIX TURKCELL WEB,,,,,,,Specific Publishers,"Citrix Systems, Inc.",Exactly,Citrix Receiver,Exactly,Citrix Receiver,Exactly,"Citrix Systems, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,CITRIX TURKCELL WEB
New_NT UYGULAMA Policy,Executable,,DataLoad.exe,ERP TOPLU TESLIM ALMA PROGRAMI (ERDEM - CEM SEN),DataLoad.exe,Exactly,588EF36DE1CD46A788409FDB0F67C504BDE55C00,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,ERP TOPLU TESLIM ALMA PROGRAMI (ERDEM - CEM SEN)
New_NT UYGULAMA Policy,Executable,,,Driver Package Installer (DPInst),,,,,,,Specific Publishers,Silicon Laboratories Inc.,Exactly,Driver Package Installer (DPInst),Exactly,Driver Package Installer,Exactly,Microsoft Corporation,Exactly,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,,INTEL WIFI DRIVER,,,,,,,Specific Publishers,Intel(R) Wireless Connectivity Solutions,Exactly,Intel® Software Installer,Exactly,Intel® Software Installer,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,INTEL WIFI DRIVER
New_NT UYGULAMA Policy,Executable,,PowerLineUtility.exe,TPLNIK MODEM AYARLAMA PROGRAMI,,Exactly,,,,,Ignore Signature,,,TP-Link PLC Utility,Exactly,TP-Link PLC Utility Setup,Exactly,TP-Link,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,TPLNIK MODEM AYARLAMA PROGRAMI
New_NT UYGULAMA Policy,Executable,,powerlineutility.exe,Executable by checksum based on file 'powerlineutility.exe',powerlineutility.exe,Exactly,8E7F51281E2B08BDF61876AF97AF645AFF72D801,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Executable by checksum based on file 'powerlineutility.exe'
New_NT UYGULAMA Policy,Executable,,java.exe,HUAWEI Operation & Maintenance System,,Exactly,,,,,Ignore Signature,,,OpenJDK Platform 8,Exactly,OpenJDK Platform binary,Exactly,N/A,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,HUAWEI Operation & Maintenance System
New_NT UYGULAMA Policy,Executable,,ligowave_reset_tool-win.exe,Executable by checksum based on file 'ligowave_reset_tool-win.exe',ligowave_reset_tool-win.exe,Exactly,EB8AD86596F4E3B670DBC6BE684B19DFEF54F76C,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Executable by checksum based on file 'ligowave_reset_tool-win.exe'
New_NT UYGULAMA Policy,MSI/MSP Installation,,,PUTTY YETKI,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,Simon Tatham,Exactly,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,PUTTY YETKI
New_NT UYGULAMA Policy,Executable,,Node Manager.exe,Node Manager,,Exactly,,,,,Ignore Signature,,,InstallAnywhere,Exactly,LaunchAnywhere,Exactly,Acresso,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,Node Manager
New_NT UYGULAMA Policy,Executable,,nm_install.exe,Node Manager Install,,Exactly,,,,,Ignore Signature,,,InstallAnywhere,Exactly,InstallAnywhere Self-Extractor,Exactly,Acresso,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Node Manager Install
New_NT UYGULAMA Policy,Executable,,Powerline Scan.exe,Powerline Scan Tplink,,Exactly,,,,,Ignore Signature,,,Powerline Scan,Exactly,Powerline Scan,Exactly,"TP-LINK TECHNOLOGIES CO.,  LTD.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Powerline Scan Tplink
New_NT UYGULAMA Policy,Executable,,InvestigationLauncher.exe,TEMS UYGULAMA SAHA TESTLERI,,Exactly,,,,,Specific Publishers,InfoVista Sweden AB,Exactly,InvestigationLauncher,Exactly,InvestigationLauncher,Exactly,Ascom,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,TEMS UYGULAMA SAHA TESTLERI
New_NT UYGULAMA Policy,Script,*,*.bat,Huawei program,setup.bat,Wildcards,EE8A405BD54047B164FA4AB3498EE1C2E22A2E16,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Huawei program
New_NT UYGULAMA Policy,MSI/MSP Installation,,fcsv4 freecooling viewer v4.6 install (kur).msi,MSI by checksum based on file 'fcsv4 freecooling viewer v4.6 install (kur).msi',fcsv4 freecooling viewer v4.6 install (kur).msi,Exactly,B5353053468B4BE1EA31E7980B2A3083F9EB1082,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,MSI by checksum based on file 'fcsv4 freecooling viewer v4.6 install (kur).msi'
New_NT UYGULAMA Policy,Executable,,HedExLite.exe,HedEX Huawei dokumantasyon,,Exactly,,,,,Ignore Signature,,,HedEx Lite,Exactly,HedEx Lite,Exactly,Huawei,Exactly,1.10.0.0,,,1.10.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,HedEX Huawei dokumantasyon
New_NT UYGULAMA Policy,Script,,*.reg,BULLET PROF FTP,bpftpserver.reg,Wildcards,B5DA6DE28BF1DCD33AB923192F57F34D74CC8113,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,BULLET PROF FTP
New_NT UYGULAMA Policy,Script,,*.bat,FTP ICIN,setup.bat,Wildcards,EE8A405BD54047B164FA4AB3498EE1C2E22A2E16,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,FTP ICIN
New_NT UYGULAMA Policy,Executable,,,Citrix APP,,,,,,,Specific Publishers,"Citrix Systems, Inc.",Exactly,Citrix Workspace,Exactly,Citrix Workspace App,Exactly,"Citrix Systems, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Citrix APP
New_NT UYGULAMA Policy,MSI/MSP Installation,,mediator.msi,TEMS Mediator,,Exactly,,,,,Specific Publishers,Ascom Network Testing AB,Exactly,,,,,,,,,,,TEMS Mediator 2.0.17,Exactly,Ascom Network Testing AB,Exactly,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,TEMS Mediator
New_NT UYGULAMA Policy,Executable,,temsinvestigation18.1.4.exe,TEMS™ Investigation,,Exactly,,,,,Specific Publishers,InfoVista Sweden AB,Exactly,TEMS™ Investigation 18.1.4 Installer,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,TEMS™ Investigation
New_NT UYGULAMA Policy,Script,,*.bat,CORE NETWORK GGSN'lere baglanmak icin,setup.bat,Wildcards,F5D360A6404C247CD9B3D2F8DD487C7CE2939154,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,CORE NETWORK GGSN'lere baglanmak icin
New_NT UYGULAMA Policy,Executable,,java.exe,Huwai program upgrade,,Exactly,,,,,Specific Publishers,London Jamocha Community CIC,Exactly,OpenJDK Platform 8,Exactly,OpenJDK Platform binary,Exactly,AdoptOpenJDK,Exactly,8.0.2220.10,8.0.2220.10,8.0.2220.10,8.0.2220.10,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Huwai program upgrade
New_NT UYGULAMA Policy,MSI/MSP Installation,,*.msi,Ultra Edit,ue_english.msi,Wildcards,5B82F4284C2AC25D251D6029BF277461140CDA1A,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Ultra Edit
New_NT UYGULAMA Policy,Executable,,winfiol.exe,WinFIOL,,Exactly,,,,,Ignore Signature,,,WinFIOL,Exactly,WinFIOL for Windows,Exactly,Ericsson AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,WinFIOL
New_NT UYGULAMA Policy,Executable,,Netility.exe,UPS Arayuz programi. (IRMAK),,Exactly,,,,,Ignore Signature,,,Netility,Exactly,InstallScript Setup Launcher,Exactly,Megatec,Exactly,5.1.0.0,,,5.1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,UPS Arayuz programi. (IRMAK)
New_NT UYGULAMA Policy,COM Object,c:\windows\system32\,rasgcw.dll,PPOE yaratma yetkisi,,Exactly,,NT SERVICE\TrustedInstaller,,,Specific Publishers,Microsoft Windows,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPOE yaratma yetkisi,,,No,No,,,,,No,PPOE yaratma yetkisi
New_NT UYGULAMA Policy,MSI/MSP Installation,,,Python Software Foundation,,,,,,,Specific Publishers,Python Software Foundation,Prefix,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,,Python Software Foundation,,,,,,,Specific Publishers,Python Software Foundation,Prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Python Software Foundation
New_NT UYGULAMA Policy,Executable,,Node Manager.exe,Ericson anons dinlemek için program,,Exactly,,,,,Ignore Signature,,,InstallAnywhere,Exactly,LaunchAnywhere,Exactly,Flexera Software,Exactly,18.0.0.0,,,18.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Ericson anons dinlemek için program
New_NT UYGULAMA Policy,Executable,,BT100_SR2_2863_UL_TEC.exe,TOSHIBA BARKOD YAZICI PROGRAMI,,Exactly,,,,,Specific Publishers,"Seagull Scientific, Inc",Exactly,BarTender,Exactly,Setup Launcher Unicode,Exactly,Seagull Scientific,Exactly,10.0.2863.0,,,10.0.2863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,TOSHIBA BARKOD YAZICI PROGRAMI
New_NT UYGULAMA Policy,Executable,,XperiaCompanion_sonyericsson.exe,Xperia telefonlari programa baglama,,Exactly,,,,,Specific Publishers,Sony Mobile Communications AB,Exactly,Xperia Companion Setup,Exactly,,,Sony,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Xperia telefonlari programa baglama
New_NT UYGULAMA Policy,Executable,,,Sony Ericsson Mobile Communication,,,,,,,Specific Publishers,Sony Ericsson Mobile Communication,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,MSI/MSP Installation,,*.msi,RainbowPlus.msi,RainbowPlus.msi,Wildcards,FC6B3AC9559717CCFE28E485092D1B3607B7FB4A,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,sftpserver.exe,sftpserver.exe,,Exactly,,,,,Ignore Signature,,,FTPSServer Application,Exactly,FTPSServer MFC Application,Exactly,Huawei,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,*.exe,dude-install-3.6.exe,,Wildcards,930D5FFCAE4DFC31D2DD5558BD0E138470F37B5B,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,dude-install-3.6.exe
New_NT UYGULAMA Policy,Executable,,OMU_Installation_Tool_eng.exe,Yuruker Card programi,,Exactly,,,,,Ignore Signature,,,OMU_Installation_Tool,Exactly,OMU_Installation_Tool,Exactly,,,1.0.0.1,,,19.12.27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Yuruker Card programi
New_NT UYGULAMA Policy,MSI/MSP Installation,,mysql-workbench-community-8.0.27-winx64.msi,MSI by checksum based on file 'mysql-workbench-community-8.0.27-winx64.msi',mysql-workbench-community-8.0.27-winx64.msi,Exactly,B6BCCFEFEE71EFF3C58A1776BCD954F00C2CA2A5,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,MSI by checksum based on file 'mysql-workbench-community-8.0.27-winx64.msi'
New_NT UYGULAMA Policy,Executable,,WebComponents.exe,WebComponents.exe,,Exactly,,,,,Specific Publishers,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO.,LTD.",Exactly,Web Components,Exactly,Web Components Setup,Exactly,,,3.0.6.27,,,3.0.6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,*.exe,KDiff3-64bit-Setup_0.9.98-2.exe,,Wildcards,4B7358AEC8DE6A3E719065FCE37DD966C92ED3D4,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,KDiff3-64bit-Setup_0.9.98-2.exe
New_NT UYGULAMA Policy,Executable,*,LigoWave_Reset_Tool-WIN.exe,LigoWave_Reset_Tool-WIN.exe,LigoWave_Reset_Tool-WIN.exe,Exactly,EB8AD86596F4E3B670DBC6BE684B19DFEF54F76C,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,*.exe,BULLET PROF FTP,ftpsetup.exe,Wildcards,012FC841758E7F9D9AE173FDE7A72933EBEE985E,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,BULLET PROF FTP
New_NT UYGULAMA Policy,Executable,,dude-install-6.48.6.exe,dude-install-6.48.6.exe,,Exactly,,,,,Specific Publishers,Mikrotikls SIA,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,,Java Platform SE 8 U271,,,,,,,Specific Publishers,"Oracle America, Inc.",Exactly,Java Platform SE 8 U271,Exactly,Java Platform SE binary,Exactly,Oracle Corporation,Exactly,8.0.2710.9,,,8.0.2710.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,ODMUpdate.exe,NT TEMS PROGRAM UPDATE,,Exactly,,,,,Ignore Signature,,,TrueUpdate Client,Exactly,TrueUpdate Client,Exactly,Indigo Rose Corporation,Exactly,3.6.0.1,,,3.6.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,NT TEMS PROGRAM UPDATE
New_NT UYGULAMA Policy,Executable,,*.exe,ML Craft R19Q4,install_R19Q4.exe,Wildcards,95648A2A8DE7A2C582FE69A8C19B4DA7DF75F1B4,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,ML Craft R19Q4
New_NT UYGULAMA Policy,Executable,,*.exe,ML Craft R20Q3,install_R20Q3.exe,Wildcards,3743564E9664BB3B340FA0164EE52D1DF8CA19AC,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,ML Craft R20Q3
New_NT UYGULAMA Policy,Executable,,*.exe,LMT,NodeB.(LMT).exe,Wildcards,3AA378978A868929C6ED08AD57EE6623BB3287EE,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,LMT
New_NT UYGULAMA Policy,Executable,,*.exe,install_R21Q4.exe,install_R21Q4.exe,Wildcards,8039D2725FC2246C91595561B71B90A993E53E91,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,PL2303_Prolific_DriverInstaller_v1.12.0.exe,BARIS KIZILDERE CONSOLE PROGRAMI,,Exactly,,,,,Ignore Signature,,,InstallShield,Exactly,Setup.exe,Exactly,Macrovision Corporation,Exactly,14.0.0.0,,,14.0.0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,BARIS KIZILDERE CONSOLE PROGRAMI
New_NT UYGULAMA Policy,Executable,,,Cisco Tracer,,,,,,,Specific Publishers,"Cisco Systems, Inc.",Exactly,Cisco Packet Tracer 8.2.0 64Bit,Exactly,Cisco Packet Tracer 8.2.0 64Bit Setup,Exactly,"Cisco Systems, Inc.",Exactly,8.2.0.162,8.2.0.162,8.2.0.162,8.2.0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,Cisco Tracer
New_NT UYGULAMA Policy,Executable,,*.exe,Cisco_Packet_Tracer_820_Windows_64bit_1048513af2.exe,,Wildcards,DDBC262ABD68DC5E10170310A5F5CFDF37912C89,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Cisco_Packet_Tracer_820_Windows_64bit_1048513af2.exe
New_NT UYGULAMA Policy,Executable,,lmt_client.exe,LMT 2,,Exactly,,,,,Specific Publishers,SignCode Common Code Signing Certificate,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,LMT 2
New_NT UYGULAMA Policy,Executable,,,LigoWave_Discovery_Reset_Tool,,,,,,,Ignore Signature,,,LigoWave_Discovery_Reset_Tool,Exactly,Discovery/Reset tool for LigoWave products,Exactly,LigoWave,Exactly,2.0.0.0,,,2.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
New_NT UYGULAMA Policy,Executable,,,ADVANCED IP SCANNER,,,,,,,Specific Publishers,Famatech Corp.,Exactly,Advanced IP Scanner,Exactly,Advanced IP Scanner Setup,Exactly,Famatech Corp.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,ADVANCED IP SCANNER
New_NT UYGULAMA Policy,Script,*,*.bat,CORE NETWORK GGSN'lere baglanmalari icin gerekli program.,setup.bat,Wildcards,9025A8FFDD3E20D459FBBE820037226986F522E5,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,CORE NETWORK GGSN'lere baglanmalari icin gerekli program.
New_NT UYGULAMA Policy,Script,*,*.vbs,CORE NETWORK GGSN'lere baglanmalari icin gerekli program.,setup.vbs,Wildcards,8ED0B0BAEB97827B9D67361D6CD92F04DC3CEF26,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,CORE NETWORK GGSN'lere baglanmalari icin gerekli program.
New_NT UYGULAMA Policy,MSI/MSP Installation,,,PLSQL x32,,,,,,,Specific Publishers,Allround Automations V.O.F.,Exactly,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,PLSQL x32
New_NT UYGULAMA Policy,MSI/MSP Installation,,,PLSQL x64,,,,,,,Specific Publishers,Allround Automations V.O.F.,Exactly,,,,,,,,,,,,,Allround Automations,Exactly,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,PLSQL x64
New_NT UYGULAMA Policy,Executable,,*.exe,Tftp,Tftpd64-4.64-setup.exe,Wildcards,E53DF45B9994F7D02B48B0E002D5E06F00535BC6,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Tftp
New_NT UYGULAMA Policy,Executable,,,Oracle 19c için,,,,,,,Specific Publishers,"Oracle America, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,Oracle 19c için
New_NT UYGULAMA Policy,MSI/MSP Installation,,,jre-8u222 webltm,,,,,,,Ignore Signature,,,,,,,,,,,,,HuaweiJRE,Exactly,HuaweiJRE open-source project,Exactly,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,jre-8u222 webltm
New_NT UYGULAMA Policy,MSI/MSP Installation,,mysql-workbench-community-8.0.33-winx64.msi,MSI by checksum based on file 'mysql-workbench-community-8.0.33-winx64.msi',mysql-workbench-community-8.0.33-winx64.msi,Exactly,1D4564CE842D3126F46832D34BCC4B4C7880B4DA,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,MSI by checksum based on file 'mysql-workbench-community-8.0.33-winx64.msi'
New_NT UYGULAMA Policy,Executable,,*.exe,dude-install-7.9.exe,,Wildcards,75A107792A96C7725FAC992D089E9DD8ABE7D926,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,dude-install-7.9.exe
New_NT UYGULAMA Policy,MSI/MSP Installation,,q-text-as-data-3.1.6.msi,MSI by checksum based on file 'q-text-as-data-3.1.6.msi',q-text-as-data-3.1.6.msi,Exactly,E03A77F0A535308B89B6BC18459234BE9D2343A9,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,MSI by checksum based on file 'q-text-as-data-3.1.6.msi'
New_NT UYGULAMA Policy,Executable,,tecdrvin.exe,Erdem algan Toshiba barkod okuyucu.,,Exactly,,,,,Ignore Signature,,,,,,,,,1.2.0.1,1.2.0.1,1.2.0.1,1.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Erdem algan Toshiba barkod okuyucu.
New_CALL CENTER POLICY,Executable,,DAgentN.exe,Executable by checksum based on file 'DAgentN.exe',DAgentN.exe,Exactly,560965A7580A3E27FF08A7DE92AA0CA00A6FA597,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,Executable by checksum based on file 'DAgentN.exe'
New_CALL CENTER POLICY,Executable,,DAgentN.exe,DAgentN.exe,,Exactly,,,,,Ignore Signature,,,,,,,Defne Telekomunikasyon A.S.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
